                                                 27 Sep 2025 16:43:25
Aircraft-MissionAcft


      Time (UTCG)          Ground Speed (nm/hr)    Fuel Consumed (lb)
-----------------------    --------------------    ------------------
1 May 2024 17:00:00.000                0.000000                 0.000
1 May 2024 17:00:01.000                4.054957                 2.778
1 May 2024 17:00:02.000                8.109915                 5.556
1 May 2024 17:00:03.000               12.164872                 8.333
1 May 2024 17:00:04.000               16.219830                11.111
1 May 2024 17:00:05.000               20.274787                13.889
1 May 2024 17:00:06.000               24.329744                16.667
1 May 2024 17:00:07.000               28.384702                19.444
1 May 2024 17:00:08.000               32.439659                22.222
1 May 2024 17:00:09.000               36.494617                25.000
1 May 2024 17:00:10.000               40.549574                27.778
1 May 2024 17:00:11.000               44.604531                30.556
1 May 2024 17:00:12.000               48.659489                33.333
1 May 2024 17:00:13.000               52.714446                36.111
1 May 2024 17:00:14.000               56.769404                38.889
1 May 2024 17:00:15.000               60.824361                41.667
1 May 2024 17:00:16.000               64.879318                44.444
1 May 2024 17:00:17.000               68.934276                47.222
1 May 2024 17:00:18.000               72.989233                50.000
1 May 2024 17:00:18.947               76.829509                52.631
1 May 2024 17:00:19.947               80.884467                55.408
1 May 2024 17:00:20.947               84.939424                58.186
1 May 2024 17:00:21.947               88.994381                60.964
1 May 2024 17:00:22.947               93.049339                63.742
1 May 2024 17:00:23.947               97.104296                66.520
1 May 2024 17:00:24.947              101.159254                69.297
1 May 2024 17:00:25.947              105.214211                72.075
1 May 2024 17:00:26.947              109.269168                74.853
1 May 2024 17:00:27.947              113.324126                77.631
1 May 2024 17:00:28.947              117.379083                80.408
1 May 2024 17:00:29.947              121.434041                83.186
1 May 2024 17:00:30.947              125.488998                85.964
1 May 2024 17:00:31.947              129.543956                88.742
1 May 2024 17:00:32.947              133.598913                91.520
1 May 2024 17:00:33.947              137.653870                94.297
1 May 2024 17:00:34.947              141.708828                97.075
1 May 2024 17:00:35.947              145.763785                99.853
1 May 2024 17:00:36.947              149.818743               102.631
1 May 2024 17:00:37.894              153.659019               105.261
1 May 2024 17:00:38.498              159.450872               106.938
1 May 2024 17:00:39.101              165.235763               108.614
1 May 2024 17:00:39.705              171.013290               110.290
1 May 2024 17:00:40.308              176.782909               111.967
1 May 2024 17:00:40.912              182.543966               113.643
1 May 2024 17:00:41.515              188.295707               115.320
1 May 2024 17:00:42.119              194.037279               116.996
1 May 2024 17:00:42.722              199.767727               118.672
1 May 2024 17:00:43.325              205.486002               120.349
1 May 2024 17:00:43.929              211.190956               122.025
1 May 2024 17:00:43.962              211.187334               122.116
1 May 2024 17:00:47.918              248.809102               133.104
1 May 2024 17:00:51.323              248.808212               142.565
1 May 2024 17:01:04.752              248.804677               179.868
1 May 2024 17:01:04.852              248.795711               180.127
1 May 2024 17:01:05.752              248.674861               182.460
1 May 2024 17:01:06.752              248.423382               185.053
1 May 2024 17:01:07.752              248.281903               187.646
1 May 2024 17:01:08.752              248.253456               190.239
1 May 2024 17:01:09.752              248.284704               192.833
1 May 2024 17:01:10.752              248.305208               195.426
1 May 2024 17:01:11.752              248.310200               198.019
1 May 2024 17:01:12.752              248.307065               200.612
1 May 2024 17:01:13.752              248.303251               203.205
1 May 2024 17:01:14.752              248.301896               205.798
1 May 2024 17:01:15.752              248.302721               208.391
1 May 2024 17:01:16.752              248.304347               210.985
1 May 2024 17:01:17.752              248.305800               213.578
1 May 2024 17:01:18.752              248.306823               216.171
1 May 2024 17:01:19.752              248.307575               218.764
1 May 2024 17:01:20.752              248.308271               221.357
1 May 2024 17:01:21.752              248.309025               223.950
1 May 2024 17:01:22.752              248.309844               226.543
1 May 2024 17:01:23.752              248.310693               229.137
1 May 2024 17:01:24.752              248.311542               231.730
1 May 2024 17:01:25.752              248.312380               234.323
1 May 2024 17:01:26.752              248.313210               236.916
1 May 2024 17:01:27.752              248.314037               239.509
1 May 2024 17:01:28.752              248.314866               242.102
1 May 2024 17:01:29.752              248.315697               244.695
1 May 2024 17:01:30.752              248.316530               247.289
1 May 2024 17:01:31.752              248.317363               249.882
1 May 2024 17:01:32.752              248.318196               252.475
1 May 2024 17:01:33.752              248.319029               255.068
1 May 2024 17:01:34.752              248.319863               257.661
1 May 2024 17:01:35.752              248.320697               260.254
1 May 2024 17:01:36.752              248.321531               262.847
1 May 2024 17:01:37.752              248.322366               265.440
1 May 2024 17:01:38.752              248.323201               268.034
1 May 2024 17:01:39.752              248.324037               270.627
1 May 2024 17:01:40.752              248.324873               273.220
1 May 2024 17:01:41.752              248.325709               275.813
1 May 2024 17:01:42.752              248.326546               278.406
1 May 2024 17:01:43.752              248.327383               280.999
1 May 2024 17:01:44.752              248.328220               283.592
1 May 2024 17:01:45.752              248.329058               286.186
