"Access","Time (UTCG)","Noise Density (dBW/Hz)","S/T SNR1 (dB)","S/T PDet1","S/T Integrated SNR (dB)","S/T Integrated PDet","S/T Pulses Integrated","S/T Integration Time (sec)","S/T Dwell Time (sec)","S/T Noise Bandwidth (MHz)","S/T Noise Power (dBW)","S/T Ambig Tgt Velocity (m/s)","S/T Ambig MLC Velocity (m/s)","S/T Ambig Tgt Range (km)","S/T Integ. Det. Thresh. (dB)","S/T Integ. CFAR Multiple"
1,1 May 2024 19:27:29.123,-203.975159,-17.6225,0.000116,9.4702,0.000463,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,66.822162,27.7847,0.000000
1,1 May 2024 19:27:32.000,-203.975159,-17.5888,0.000116,9.5039,0.000468,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,66.112613,27.7847,0.000000
1,1 May 2024 19:27:35.000,-203.975159,-17.5537,0.000116,9.5390,0.000474,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,65.372801,27.7847,0.000000
1,1 May 2024 19:27:38.000,-203.975159,-17.5184,0.000116,9.5743,0.000480,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,64.632988,27.7847,0.000000
1,1 May 2024 19:27:41.000,-203.975159,-17.4831,0.000116,9.6096,0.000486,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,63.893175,27.7847,0.000000
1,1 May 2024 19:27:44.000,-203.975159,-17.4478,0.000116,9.6449,0.000491,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,63.153361,27.7847,0.000000
1,1 May 2024 19:27:47.000,-203.975159,-17.4123,0.000116,9.6804,0.000497,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,62.413547,27.7847,0.000000
1,1 May 2024 19:27:50.000,-203.975159,-17.3768,0.000117,9.7159,0.000503,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,61.673733,27.7847,0.000000
1,1 May 2024 19:27:53.000,-203.975159,-17.3412,0.000117,9.7515,0.000509,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,60.933918,27.7847,0.000000
1,1 May 2024 19:27:56.000,-203.975159,-17.3055,0.000117,9.7872,0.000516,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,60.194103,27.7847,0.000000
1,1 May 2024 19:27:59.000,-203.975159,-17.2698,0.000117,9.8229,0.000522,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,59.454287,27.7847,0.000000
1,1 May 2024 19:28:02.000,-203.975159,-17.2340,0.000117,9.8587,0.000530,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,58.714471,27.7847,0.000000
1,1 May 2024 19:28:05.000,-203.975159,-17.1981,0.000117,9.8946,0.000537,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,57.974655,27.7847,0.000000
1,1 May 2024 19:28:08.000,-203.975159,-17.1621,0.000117,9.9306,0.000544,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,57.234838,27.7847,0.000000
1,1 May 2024 19:28:11.000,-203.975159,-17.1261,0.000117,9.9666,0.000551,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,56.495021,27.7847,0.000000
1,1 May 2024 19:28:14.000,-203.975159,-17.0900,0.000118,10.0027,0.000558,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,55.755204,27.7847,0.000000
1,1 May 2024 19:28:17.000,-203.975159,-17.0538,0.000118,10.0389,0.000565,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,55.015386,27.7847,0.000000
1,1 May 2024 19:28:20.000,-203.975159,-17.0176,0.000118,10.0751,0.000572,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,54.275568,27.7847,0.000000
1,1 May 2024 19:28:23.000,-203.975159,-16.9812,0.000118,10.1115,0.000580,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,53.535750,27.7847,0.000000
1,1 May 2024 19:28:26.000,-203.975159,-16.9448,0.000118,10.1479,0.000589,512,0.5110,0.5134,30.000,-129.204,-3.549,0.000,52.795932,27.7847,0.000000
1,1 May 2024 19:28:29.000,-203.975159,-16.9083,0.000118,10.1844,0.000597,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,52.056113,27.7847,0.000000
1,1 May 2024 19:28:32.000,-203.975159,-16.8718,0.000119,10.2209,0.000606,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,51.316294,27.7847,0.000000
1,1 May 2024 19:28:35.000,-203.975159,-16.8351,0.000119,10.2576,0.000614,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,50.576475,27.7847,0.000000
1,1 May 2024 19:28:38.000,-203.975159,-16.7984,0.000119,10.2943,0.000623,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,49.836655,27.7847,0.000000
1,1 May 2024 19:28:41.000,-203.975159,-16.7616,0.000119,10.3311,0.000631,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,49.096836,27.7847,0.000000
1,1 May 2024 19:28:44.000,-203.975159,-16.7247,0.000119,10.3680,0.000640,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,48.357016,27.7847,0.000000
1,1 May 2024 19:28:47.000,-203.975159,-16.6878,0.000119,10.4049,0.000651,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,47.617196,27.7847,0.000000
1,1 May 2024 19:28:50.000,-203.975159,-16.6507,0.000119,10.4420,0.000661,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,46.877375,27.7847,0.000000
1,1 May 2024 19:28:53.000,-203.975159,-16.6136,0.000120,10.4791,0.000670,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,46.137555,27.7847,0.000000
1,1 May 2024 19:28:56.000,-203.975159,-16.5764,0.000120,10.5163,0.000680,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,45.397734,27.7847,0.000000
1,1 May 2024 19:28:59.000,-203.975159,-16.5392,0.000120,10.5535,0.000691,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,44.657914,27.7847,0.000000
1,1 May 2024 19:29:02.000,-203.975159,-16.5018,0.000120,10.5909,0.000701,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,43.918093,27.7847,0.000000
1,1 May 2024 19:29:05.000,-203.975159,-16.4644,0.000120,10.6283,0.000712,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,43.178272,27.7847,0.000000
1,1 May 2024 19:29:08.000,-203.975159,-16.4269,0.000120,10.6658,0.000724,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,42.438451,27.7847,0.000000
1,1 May 2024 19:29:11.000,-203.975159,-16.3893,0.000121,10.7034,0.000736,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,41.698629,27.7847,0.000000
1,1 May 2024 19:29:14.000,-203.975159,-16.3516,0.000121,10.7411,0.000747,512,0.5110,0.5133,30.000,-129.204,-3.549,0.000,40.958808,27.7847,0.000000
