                                                                                                                                                                                         28 Sep 2025 15:13:46
Facility-Raisting-Receiver-DLRx-To-Satellite-CommSat-Transmitter-DLTx:  Link Budget


      Time (UTCG)          EIRP (dBW)    Rcvd. Frequency (GHz)    Rcvd. Iso. Power (dBW)    Flux Density (dBW/m^2)    g/T (dB/K)    C/No (dB*Hz)    Bandwidth (kHz)    C/N (dB)    Eb/No (dB)         BER    
-----------------------    ----------    ---------------------    ----------------------    ----------------------    ----------    ------------    ---------------    --------    ----------    ------------
1 May 2024 06:27:40.066        23.010                 1.500031                  -141.809               -116.831885     17.000000      103.789744          32000.000     28.7382       31.7485    1.000000e-30
1 May 2024 06:28:40.000        23.010                 1.500031                  -140.558               -115.580931     17.000000      105.040698          32000.000     29.9892       32.9995    1.000000e-30
1 May 2024 06:29:40.000        23.010                 1.500029                  -139.150               -114.172838     17.000000      106.448791          32000.000     31.3973       34.4076    1.000000e-30
1 May 2024 06:30:40.000        23.010                 1.500027                  -137.588               -112.610086     17.000000      108.011543          32000.000     32.9600       35.9703    1.000000e-30
1 May 2024 06:31:40.000        23.010                 1.500022                  -135.940               -110.962705     17.000000      109.658924          32000.000     34.6074       37.6177    1.000000e-30
1 May 2024 06:32:40.000        23.010                 1.500014                  -134.466               -109.488094     17.000000      111.133536          32000.000     36.0820       39.0923    1.000000e-30
1 May 2024 06:33:40.000        23.010                 1.500002                  -133.712               -108.734859     17.000000      111.886770          32000.000     36.8353       39.8456    1.000000e-30
1 May 2024 06:34:40.000        23.010                 1.499989                  -134.137               -109.159907     17.000000      111.461722          32000.000     36.4102       39.4205    1.000000e-30
1 May 2024 06:35:40.000        23.010                 1.499980                  -135.466               -110.488280     17.000000      110.133349          32000.000     35.0818       38.0921    1.000000e-30
1 May 2024 06:36:40.000        23.010                 1.499974                  -137.101               -112.123796     17.000000      108.497833          32000.000     33.4463       36.4566    1.000000e-30
1 May 2024 06:37:40.000        23.010                 1.499971                  -138.702               -113.724062     17.000000      106.897567          32000.000     31.8461       34.8564    1.000000e-30
1 May 2024 06:38:40.000        23.010                 1.499970                  -140.157               -115.179468     17.000000      105.442161          32000.000     30.3907       33.4010    1.000000e-30
1 May 2024 06:39:40.000        23.010                 1.499969                  -141.454               -116.476077     17.000000      104.145552          32000.000     29.0941       32.1044    1.000000e-30
1 May 2024 06:39:44.909        23.010                 1.499969                  -141.553               -116.575525     17.000000      104.046104          32000.000     28.9946       32.0049    1.000000e-30

      Time (UTCG)          EIRP (dBW)    Rcvd. Frequency (GHz)    Rcvd. Iso. Power (dBW)    Flux Density (dBW/m^2)    g/T (dB/K)    C/No (dB*Hz)    Bandwidth (kHz)    C/N (dB)    Eb/No (dB)         BER    
-----------------------    ----------    ---------------------    ----------------------    ----------------------    ----------    ------------    ---------------    --------    ----------    ------------
1 May 2024 08:01:48.824        23.010                 1.500001                  -151.494               -126.516906     17.000000       94.104724          32000.000     19.0532       22.0635    1.000000e-30
1 May 2024 08:02:48.000        23.010                 1.500000                  -151.483               -126.505278     17.000000       94.116351          32000.000     19.0649       22.0752    1.000000e-30
1 May 2024 08:03:48.000        23.010                 1.499999                  -151.483               -126.505912     17.000000       94.115717          32000.000     19.0642       22.0745    1.000000e-30
1 May 2024 08:04:48.000        23.010                 1.499998                  -151.496               -126.518682     17.000000       94.102948          32000.000     19.0514       22.0617    1.000000e-30
1 May 2024 08:05:48.000        23.010                 1.499998                  -151.521               -126.543110     17.000000       94.078519          32000.000     19.0270       22.0373    1.000000e-30
1 May 2024 08:06:48.000        23.010                 1.499997                  -151.556               -126.578636     17.000000       94.042993          32000.000     18.9915       22.0018    1.000000e-30
1 May 2024 08:07:48.000        23.010                 1.499996                  -151.602               -126.624628     17.000000       93.997001          32000.000     18.9455       21.9558    1.000000e-30
1 May 2024 08:08:48.000        23.010                 1.499995                  -151.658               -126.680403     17.000000       93.941226          32000.000     18.8897       21.9000    1.000000e-30
1 May 2024 08:09:48.000        23.010                 1.499994                  -151.723               -126.745241     17.000000       93.876388          32000.000     18.8249       21.8352    1.000000e-30
1 May 2024 08:10:48.000        23.010                 1.499994                  -151.796               -126.818403     17.000000       93.803226          32000.000     18.7517       21.7620    1.000000e-30
1 May 2024 08:11:48.000        23.010                 1.499993                  -151.877               -126.899142     17.000000       93.722487          32000.000     18.6710       21.6813    1.000000e-30
1 May 2024 08:12:48.000        23.010                 1.499992                  -151.964               -126.986716     17.000000       93.634913          32000.000     18.5834       21.5937    1.000000e-30
1 May 2024 08:13:48.000        23.010                 1.499992                  -152.058               -127.080400     17.000000       93.541229          32000.000     18.4897       21.5000    1.000000e-30
1 May 2024 08:14:48.000        23.010                 1.499991                  -152.157               -127.179492     17.000000       93.442137          32000.000     18.3906       21.4009    1.000000e-30
1 May 2024 08:15:48.000        23.010                 1.499991                  -152.261               -127.283324     17.000000       93.338306          32000.000     18.2868       21.2971    1.000000e-30
