                                               28 Sep 2025 19:35:01
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Global Coverage                                                    
Grid Altitude: 0.0000 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 4.0000 (deg)                                           
Number of Points: 2588                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Satellite/C_Sat/Sensor/C_Camera:    Active                     
    Satellite/R_Sat/Sensor/R_Camera:    Active                     
    Satellite/S_Sat/Sensor/S_Camera:    Active                     
Access Interval: 1 May 2024 16:00:00.000 to 2 May 2024 16:00:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


            FOM Properties           
-------------------------------------
Total Number Of Accesses             
Satisfaction is not enabled          
FOM value range check is not enabled.


Latitude (deg)    Longitude (deg)    FOM Value
--------------    ---------------    ---------
       -90.000              0.000            0
       -86.000             30.000            0
       -86.000             90.000            0
       -86.000            150.000            0
       -86.000            210.000            0
       -86.000            270.000            0
       -86.000            330.000            0
       -82.000             10.000            7
       -82.000             30.000            7
       -82.000             50.000            7
       -82.000             70.000            7
       -82.000             90.000            7
       -82.000            110.000            7
       -82.000            130.000            7
       -82.000            150.000            7
       -82.000            170.000            6
       -82.000            190.000            7
       -82.000            210.000            8
       -82.000            230.000            8
       -82.000            250.000            6
       -82.000            270.000            7
       -82.000            290.000            7
       -82.000            310.000            7
       -82.000            330.000            7
       -82.000            350.000            8
       -78.000             10.000            3
       -78.000             30.000            3
       -78.000             50.000            3
       -78.000             70.000            4
       -78.000             90.000            3
       -78.000            110.000            3
       -78.000            130.000            4
       -78.000            150.000            3
       -78.000            170.000            4
       -78.000            190.000            3
       -78.000            210.000            1
       -78.000            230.000            2
       -78.000            250.000            4
       -78.000            270.000            3
       -78.000            290.000            4
       -78.000            310.000            4
       -78.000            330.000            4
       -78.000            350.000            3
       -74.000             10.000            3
       -74.000             30.000            2
       -74.000             50.000            1
       -74.000             70.000            3
       -74.000             90.000            2
       -74.000            110.000            2
       -74.000            130.000            3
       -74.000            150.000            0
       -74.000            170.000            2
       -74.000            190.000            3
       -74.000            210.000            4
       -74.000            230.000            4
       -74.000            250.000            2
       -74.000            270.000            1
       -74.000            290.000            1
       -74.000            310.000            1
       -74.000            330.000            3
       -74.000            350.000            3
       -70.000              5.000            3
       -70.000             15.000            0
       -70.000             25.000            2
       -70.000             35.000            2
       -70.000             45.000            1
       -70.000             55.000            3
       -70.000             65.000            1
       -70.000             75.000            3
       -70.000             85.000            1
       -70.000             95.000            2
       -70.000            105.000            2
       -70.000            115.000            1
       -70.000            125.000            3
       -70.000            135.000            0
       -70.000            145.000            2
       -70.000            155.000            2
       -70.000            165.000            0
       -70.000            175.000            3
       -70.000            185.000            0
       -70.000            195.000            3
       -70.000            205.000            1
       -70.000            215.000            2
       -70.000            225.000            2
       -70.000            235.000            0
       -70.000            245.000            3
       -70.000            255.000            0
       -70.000            265.000            3
       -70.000            275.000            1
       -70.000            285.000            1
       -70.000            295.000            2
       -70.000            305.000            0
       -70.000            315.000            3
       -70.000            325.000            1
       -70.000            335.000            2
       -70.000            345.000            3
       -70.000            355.000            1
       -66.000              5.000            1
       -66.000             15.000            1
       -66.000             25.000            2
       -66.000             35.000            1
       -66.000             45.000            1
       -66.000             55.000            2
       -66.000             65.000            0
       -66.000             75.000            2
       -66.000             85.000            1
       -66.000             95.000            2
       -66.000            105.000            1
       -66.000            115.000            1
       -66.000            125.000            2
       -66.000            135.000            0
       -66.000            145.000            2
       -66.000            155.000            2
       -66.000            165.000            0
       -66.000            175.000            4
       -66.000            185.000            0
       -66.000            195.000            3
       -66.000            205.000            0
       -66.000            215.000            1
       -66.000            225.000            3
       -66.000            235.000            0
       -66.000            245.000            4
       -66.000            255.000            0
       -66.000            265.000            3
       -66.000            275.000            0
       -66.000            285.000            1
       -66.000            295.000            2
       -66.000            305.000            1
       -66.000            315.000            3
       -66.000            325.000            1
       -66.000            335.000            2
       -66.000            345.000            1
       -66.000            355.000            1
       -62.000              5.000            2
       -62.000             15.000            2
       -62.000             25.000            2
       -62.000             35.000            1
       -62.000             45.000            2
       -62.000             55.000            2
       -62.000             65.000            3
       -62.000             75.000            3
       -62.000             85.000            2
       -62.000             95.000            2
       -62.000            105.000            2
       -62.000            115.000            2
       -62.000            125.000            2
       -62.000            135.000            2
       -62.000            145.000            2
       -62.000            155.000            2
       -62.000            165.000            1
       -62.000            175.000            2
       -62.000            185.000            1
       -62.000            195.000            2
       -62.000            205.000            2
       -62.000            215.000            2
       -62.000            225.000            3
       -62.000            235.000            2
       -62.000            245.000            3
       -62.000            255.000            1
       -62.000            265.000            3
       -62.000            275.000            2
       -62.000            285.000            2
       -62.000            295.000            2
       -62.000            305.000            3
       -62.000            315.000            2
       -62.000            325.000            1
       -62.000            335.000            3
       -62.000            345.000            2
       -62.000            355.000            3
       -58.000              3.333            3
       -58.000             10.000            3
       -58.000             16.667            4
       -58.000             23.333            4
       -58.000             30.000            3
       -58.000             36.667            3
       -58.000             43.333            5
       -58.000             50.000            4
       -58.000             56.667            4
       -58.000             63.333            4
       -58.000             70.000            4
       -58.000             76.667            3
       -58.000             83.333            4
       -58.000             90.000            4
       -58.000             96.667            4
       -58.000            103.333            4
       -58.000            110.000            4
       -58.000            116.667            3
       -58.000            123.333            3
       -58.000            130.000            4
       -58.000            136.667            3
       -58.000            143.333            3
       -58.000            150.000            4
       -58.000            156.667            4
       -58.000            163.333            3
       -58.000            170.000            3
       -58.000            176.667            2
       -58.000            183.333            5
       -58.000            190.000            3
       -58.000            196.667            2
       -58.000            203.333            5
       -58.000            210.000            4
       -58.000            216.667            4
       -58.000            223.333            2
       -58.000            230.000            4
       -58.000            236.667            4
       -58.000            243.333            3
       -58.000            250.000            4
       -58.000            256.667            4
       -58.000            263.333            4
       -58.000            270.000            2
       -58.000            276.667            3
       -58.000            283.333            4
       -58.000            290.000            3
       -58.000            296.667            3
       -58.000            303.333            4
       -58.000            310.000            5
       -58.000            316.667            3
       -58.000            323.333            3
       -58.000            330.000            5
       -58.000            336.667            3
       -58.000            343.333            4
       -58.000            350.000            3
       -58.000            356.667            5
       -54.000              3.333            0
       -54.000             10.000            3
       -54.000             16.667            3
       -54.000             23.333            1
       -54.000             30.000            1
       -54.000             36.667            3
       -54.000             43.333            4
       -54.000             50.000            0
       -54.000             56.667            2
