                                               28 Sep 2025 20:20:55
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Global Coverage                                                    
Grid Altitude: 0.0000 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 4.0000 (deg)                                           
Number of Points: 2588                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Satellite/C_Sat/Sensor/C_Camera:    Active                     
    Satellite/R_Sat/Sensor/R_Camera:    Active                     
    Satellite/S_Sat/Sensor/S_Camera:    Active                     
Access Interval: 1 May 2024 16:00:00.000 to 2 May 2024 16:00:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


            FOM Properties           
-------------------------------------
Percent Time Covered                 
Satisfaction is not enabled          
FOM value range check is not enabled.


Latitude (deg)    Minimum    Maximum    Average
--------------    -------    -------    -------
       -90.000      0.000      0.000      0.000
       -86.000      0.000      0.000      0.000
       -82.000      0.239      0.319      0.278
       -78.000      0.043      0.159      0.129
       -74.000      0.000      0.159      0.089
       -70.000      0.000      0.123      0.064
       -66.000      0.000      0.158      0.052
       -62.000      0.043      0.155      0.110
       -58.000      0.137      0.285      0.214
       -54.000      0.000      0.222      0.114
       -50.000      0.000      0.172      0.088
       -46.000      0.000      0.214      0.080
       -42.000      0.000      0.221      0.070
       -38.000      0.000      0.213      0.064
       -34.000      0.000      0.177      0.061
       -30.000      0.000      0.177      0.049
       -26.000      0.000      0.170      0.047
       -22.000      0.000      0.137      0.052
       -18.000      0.000      0.203      0.050
       -14.000      0.000      0.203      0.048
       -10.000      0.000      0.154      0.048
        -6.000      0.000      0.150      0.047
        -2.000      0.000      0.143      0.047
         2.000      0.000      0.143      0.049
         6.000      0.000      0.150      0.050
        10.000      0.000      0.150      0.050
        14.000      0.000      0.169      0.050
        18.000      0.000      0.176      0.054
        22.000      0.000      0.144      0.054
        26.000      0.000      0.177      0.061
        30.000      0.000      0.177      0.065
        34.000      0.000      0.178      0.063
        38.000      0.000      0.220      0.068
        42.000      0.000      0.221      0.073
        46.000      0.000      0.214      0.080
        50.000      0.000      0.189      0.094
        54.000      0.000      0.222      0.122
        58.000      0.138      0.354      0.228
        62.000      0.069      0.216      0.120
        66.000      0.000      0.158      0.054
        70.000      0.000      0.123      0.066
        74.000      0.000      0.202      0.085
        78.000      0.080      0.166      0.135
        82.000      0.275      0.318      0.294
        86.000      0.000      0.000      0.000
        90.000      0.000      0.000      0.000
