                                               29 Sep 2025 17:34:27
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Custom Regions Coverage                                            
Grid Altitude: 0.0000 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 0.5000 (deg)                                           
Number of Points: 5475                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    AreaTarget/United_States_of_America:    Active                 
    AreaTarget/Mexico:    Active                                   
    AreaTarget/Canada:    Active                                   
    Satellite/R_Sat/Sensor/R_Camera:    Active                     
Access Interval: 1 May 2024 16:00:00.000 to 2 May 2024 16:00:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


            FOM Properties           
-------------------------------------
Average Access Duration              
Satisfaction is not enabled          
FOM value range check is not enabled.


Longitude (deg)    Minimum (sec)    Maximum (sec)    Average (sec)
---------------    -------------    -------------    -------------
        220.000           28.092           37.456           36.699
        221.000           25.280           37.374           36.520
        222.000           37.033           37.316           37.148
        224.000           28.694           37.289           36.672
        225.000            0.000           37.361           33.131
        226.000            0.000           37.281           23.656
        227.000            0.000           37.288           17.351
        228.000            0.000           37.327            8.039
        229.000            0.000           37.149           19.470
        230.000            0.000           37.330            2.546
        231.000            0.000            0.000            0.000
        232.000            0.000            0.000            0.000
        233.000            0.000            0.000            0.000
        234.000            0.000           37.074           13.438
        235.000            0.000           37.104           11.143
        236.000            0.000           37.333           18.458
        237.000            0.000           37.290           13.775
        238.000            0.000           37.288           13.401
        239.000            0.000           37.363           16.990
        240.000            0.000           37.016            4.555
        241.000            0.000           37.293           13.266
        242.000            0.000           37.316            9.396
        243.000            0.000           37.377            7.292
        244.000            0.000           37.369            6.054
        245.000            0.000           37.293            6.892
        246.000            0.000        23623.918         1490.555
        247.000            0.000        23623.854         1592.116
        248.000            0.000        23623.669         1556.611
        249.000            0.000        23623.606         1744.658
        250.000            0.000        23623.482         2834.949
        251.000            0.000        23623.359         2534.980
        252.000            0.000        23623.234         1763.132
        253.000            0.000        23623.171         4646.750
        254.000            0.000        23623.046         4346.961
        255.000            0.000        23622.922         4783.198
        256.000            0.000        23622.798         7890.015
        257.000            0.000        23622.673         7687.421
        258.000            0.000        23531.041         5405.167
        259.000            0.000        23181.924         3704.293
        260.000            0.000           37.194           17.570
        261.000            0.000           37.302           22.483
        262.000            0.000        30356.423         6155.689
        263.000            0.000        25115.990        12530.844
        264.000            0.000        25115.743        12347.326
        265.000            0.000        25115.617        12352.177
        266.000            0.000        34994.926        15403.305
        267.000            0.000        33862.849        11032.706
        268.000            0.000        25115.001        15170.736
        269.000            0.000        25114.752        11316.543
        270.000            0.000        25114.503        10181.223
        271.000            0.000        25114.380        14025.504
        272.000            0.000        30350.842        14621.176
        273.000            0.000        30606.756         8397.259
        274.000            0.000        25113.761        16519.360
        275.000            0.000        31471.411        17279.147
        276.000            0.000        31797.190        10280.378
        277.000           11.184        32522.101        17464.047
        278.000            0.000        32521.140         7695.455
        279.000            0.000           36.931           20.262
        280.000            0.000           36.873           25.431
        281.000            0.000           37.081           20.782
        282.000            0.000        28057.013          504.956
        283.000            0.000        29051.302         3893.489
        284.000            0.000        29050.734         2708.698
        285.000            0.000        19379.201         3164.131
        286.000            0.000           36.928            9.585
        287.000            0.000        19378.782         2754.955
        288.000            0.000        19256.444         3777.304
        289.000            0.000        19026.914         3312.076
        290.000            0.000        28053.650         3543.392
        291.000            0.000            0.000            0.000
        292.000            0.000        27908.453         2420.748
        293.000            0.000        27768.291         1735.518
        294.000            0.000        18617.345         2325.067
        295.000            0.000           37.017           17.352
        296.000            0.000           37.005           26.149
        297.000            0.000           36.944           31.615
        298.000           36.765           36.979           36.842
        299.000           36.734           37.006           36.847
        300.000           36.739           37.008           36.852
        301.000           16.136           37.067           34.335
        302.000            0.000           36.992            8.980
        303.000            0.000            0.000            0.000
        304.000            0.000            0.000            0.000
