                                                   30 Sep 2025 09:51:49
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Custom Regions Coverage                                            
Grid Altitude: 0.0030 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 0.0180 (deg)                                           
Number of Points: 2916                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Missile/TestMissile/Transmitter/DLTx:    Active                
Access Interval: 1 May 2024 18:00:00.000 to 1 May 2024 18:05:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


                FOM Properties               
---------------------------------------------
Maximum C/N                                  
Maximum of Assets                            
Satisfaction is not enabled                  
Invalid Data Indicator Value: -9999.990000 dB
FOM value range check is not enabled.        


      Time (UTCG)          Minimum (dB)    Maximum (dB)    Average (dB)
-----------------------    ------------    ------------    ------------
1 May 2024 18:00:00.000          26.022          49.063          34.262
1 May 2024 18:00:05.000           5.574          32.762          19.534
1 May 2024 18:00:10.000           5.642          26.981          17.767
1 May 2024 18:00:15.000           5.696          23.635          16.476
1 May 2024 18:00:20.000           5.737          21.305          15.439
1 May 2024 18:00:25.000           5.767          19.535          14.572
1 May 2024 18:00:30.000           5.787          18.122          13.829
1 May 2024 18:00:35.000           5.799          16.955          13.183
1 May 2024 18:00:40.000           5.804          15.970          12.614
1 May 2024 18:00:45.000           5.802          15.126          12.109
1 May 2024 18:00:50.000           5.796          14.392          11.658
1 May 2024 18:00:55.000           5.786          13.750          11.253
1 May 2024 18:01:00.000           5.775          13.183          10.889
1 May 2024 18:01:05.000           5.762          12.681          10.560
1 May 2024 18:01:10.000           5.749          12.234          10.262
1 May 2024 18:01:15.000           5.736          11.836           9.994
1 May 2024 18:01:20.000           5.726          11.482           9.752
1 May 2024 18:01:25.000           5.718          11.166           9.534
1 May 2024 18:01:30.000           5.713          10.885           9.339
1 May 2024 18:01:35.000           5.712          10.637           9.165
1 May 2024 18:01:40.000           5.716          10.418           9.011
1 May 2024 18:01:45.000           5.725          10.227           8.876
1 May 2024 18:01:50.000           5.739          10.062           8.759
1 May 2024 18:01:55.000           5.759           9.922           8.659
1 May 2024 18:02:00.000           5.787           9.805           8.577
1 May 2024 18:02:05.000           5.821           9.710           8.511
1 May 2024 18:02:10.000           5.863           9.638           8.461
1 May 2024 18:02:15.000           5.912           9.586           8.427
1 May 2024 18:02:20.000           5.970           9.555           8.408
1 May 2024 18:02:25.000           6.037           9.545           8.406
1 May 2024 18:02:30.000           6.113           9.556           8.418
1 May 2024 18:02:35.000           6.199           9.587           8.447
1 May 2024 18:02:40.000           6.295           9.639           8.491
1 May 2024 18:02:45.000           6.402           9.713           8.551
1 May 2024 18:02:50.000           6.519           9.808           8.627
1 May 2024 18:02:55.000           6.516           9.926           8.720
1 May 2024 18:03:00.000           6.505          10.067           8.830
1 May 2024 18:03:05.000           6.501          10.233           8.958
1 May 2024 18:03:10.000           6.504          10.425           9.104
1 May 2024 18:03:15.000           6.513          10.644           9.270
1 May 2024 18:03:20.000           6.528          10.893           9.456
1 May 2024 18:03:25.000           6.547          11.175           9.663
1 May 2024 18:03:30.000           6.570          11.492           9.893
1 May 2024 18:03:35.000           6.595          11.847          10.148
1 May 2024 18:03:40.000           6.623          12.247          10.429
1 May 2024 18:03:45.000           6.652          12.695          10.740
1 May 2024 18:03:50.000           6.680          13.199          11.082
1 May 2024 18:03:55.000           6.707          13.767          11.459
1 May 2024 18:04:00.000           6.731          14.412          11.877
1 May 2024 18:04:05.000           6.751          15.149          12.340
1 May 2024 18:04:10.000           6.765          15.997          12.855
1 May 2024 18:04:15.000           6.771          16.987          13.432
1 May 2024 18:04:20.000           6.768          18.160          14.084
1 May 2024 18:04:25.000           6.754          19.583          14.829
1 May 2024 18:04:30.000           6.727          21.367          15.692
1 May 2024 18:04:35.000           6.685          23.719          16.719
1 May 2024 18:04:40.000           6.628          27.111          17.993
1 May 2024 18:04:45.000           6.553          33.028          19.746
1 May 2024 18:04:50.000       -9999.990       -9999.990       -9999.990
1 May 2024 18:04:55.000       -9999.990       -9999.990       -9999.990
1 May 2024 18:05:00.000       -9999.990       -9999.990       -9999.990
