                                               30 Sep 2025 09:53:53
FigureOfMerit-FigureOfMerit1


                        Coverage Properties                        
-------------------------------------------------------------------
Custom Regions Coverage                                            
Grid Altitude: 0.0030 (km)                                         
Ground Altitude set from grid altitude reference (On ellipsoid)    
Resolution: 0.0180 (deg)                                           
Number of Points: 2916                                             
Assets required for a valid access: At Least 1                     
Assigned Assets:                                                   
    Missile/TestMissile/Transmitter/DLTx:    Active                
Access Interval: 1 May 2024 18:00:00.000 to 1 May 2024 18:05:00.000
Regional Acceleration: Automatic                                   
Light time delay: Ignored                                          
Maximum Sampling Time Step: 360.000 secs                           
Minimum Sampling Time Step: 0.010 secs                             
Time Convergence: 5.000e-03 secs                                   
Value Convergence: Relative 1.000e-08 - Absolute 1.000e-14         


                FOM Properties               
---------------------------------------------
Maximum C/N                                  
Maximum of Assets                            
Satisfaction is not enabled                  
Invalid Data Indicator Value: -9999.990000 dB
FOM value range check is not enabled.        



Time (UTCG): 1 May 2024 18:02:25.000
------------------------------------

Latitude (deg)    Longitude (deg)    FOM Value (dB)
--------------    ---------------    --------------
        32.108            253.262            6.7579
        32.108            253.286            6.7983
        32.108            253.310            6.8366
        32.108            253.334            6.8728
        32.108            253.358            6.9069
        32.108            253.382            6.9388
        32.108            253.406            6.9684
        32.108            253.431            6.9957
        32.108            253.455            7.0206
        32.108            253.479            7.0431
        32.108            253.503            7.0633
        32.108            253.527            7.0809
        32.108            253.551            7.0960
        32.108            253.575            7.1087
        32.108            253.599            7.1187
        32.108            253.623            7.1263
        32.108            253.647            7.1312
        32.108            253.671            7.1335
        32.108            253.695            7.1333
        32.108            253.719            7.1305
        32.108            253.744            7.1250
        32.108            253.768            7.1171
        32.108            253.792            7.1065
        32.108            253.816            7.0934
        32.108            253.840            7.0778
        32.108            253.864            7.0597
        32.108            253.888            7.0391
        32.124            253.262            6.8280
        32.124            253.286            6.8690
        32.124            253.310            6.9079
        32.124            253.334            6.9447
        32.124            253.358            6.9794
        32.124            253.382            7.0118
        32.124            253.406            7.0419
        32.124            253.431            7.0696
        32.124            253.455            7.0950
        32.124            253.479            7.1179
        32.124            253.503            7.1384
        32.124            253.527            7.1563
        32.124            253.551            7.1717
        32.124            253.575            7.1846
