                                                                                                                                                                                                       30 Sep 2025 09:29:32
Place-CommSite-Sensor-Servo-Receiver-DLRx-To-Missile-TestMissile-Transmitter-DLTx:  Link Budget


      Time (UTCG)          EIRP (dBW)    Rcvd. Frequency (GHz)    Rcvd. Iso. Power (dBW)    Flux Density (dBW/m^2)    g/T (dB/K)    C/No (dB*Hz)    Bandwidth (kHz)    C/N (dB)    Eb/No (dB)         BER        Range (km)
-----------------------    ----------    ---------------------    ----------------------    ----------------------    ----------    ------------    ---------------    --------    ----------    ------------    ----------
1 May 2024 18:00:00.179         1.000                 2.400003                  -135.000               -105.939952     -5.230135       88.369142          30000.000     13.5979       16.6082    5.328754e-22     62.718069
1 May 2024 18:00:01.000         1.000                 2.400002                  -134.964               -105.903978     -5.230136       88.405116          30000.000     13.6339       16.6442    3.626075e-22     62.458846
1 May 2024 18:00:02.000         1.000                 2.400002                  -134.924               -105.863853     -5.230137       88.445239          30000.000     13.6740       16.6843    2.351455e-22     62.170983
1 May 2024 18:00:03.000         1.000                 2.400002                  -134.888               -105.827811     -5.230138       88.481280          30000.000     13.7101       16.7204    1.588192e-22     61.913540
1 May 2024 18:00:04.000         1.000                 2.400002                  -134.856               -105.795866     -5.230139       88.513225          30000.000     13.7420       16.7523    1.118582e-22     61.686252
1 May 2024 18:00:05.000         1.000                 2.400001                  -134.828               -105.768020     -5.230139       88.541070          30000.000     13.7699       16.7802    8.223556e-23     61.488809
1 May 2024 18:00:06.000         1.000                 2.400001                  -134.804               -105.744263     -5.230140       88.564826          30000.000     13.7936       16.8039    6.315374e-23     61.320858
1 May 2024 18:00:07.000         1.000                 2.400001                  -134.784               -105.724573     -5.230141       88.584515          30000.000     13.8133       16.8236    5.068688e-23     61.182006
1 May 2024 18:00:08.000         1.000                 2.400001                  -134.769               -105.708915     -5.230142       88.600172          30000.000     13.8290       16.8393    4.252525e-23     61.071817
1 May 2024 18:00:09.000         1.000                 2.400001                  -134.757               -105.697245     -5.230143       88.611841          30000.000     13.8406       16.8509    3.729403e-23     60.989818
1 May 2024 18:00:10.000         1.000                 2.400000                  -134.749               -105.689506     -5.230144       88.619580          30000.000     13.8484       16.8587    3.417828e-23     60.935498
1 May 2024 18:00:11.000         1.000                 2.400000                  -134.746               -105.685630     -5.230144       88.623455          30000.000     13.8522       16.8625    3.271531e-23     60.908311
1 May 2024 18:00:12.000         1.000                 2.400000                  -134.745               -105.685540     -5.230145       88.623545          30000.000     13.8523       16.8626    3.268230e-23     60.907679
1 May 2024 18:00:13.000         1.000                 2.400000                  -134.749               -105.689149     -5.230146       88.619935          30000.000     13.8487       16.8590    3.404171e-23     60.932993
1 May 2024 18:00:14.000         1.000                 2.399999                  -134.756               -105.696362     -5.230147       88.612721          30000.000     13.8415       16.8518    3.692635e-23     60.983616
1 May 2024 18:00:15.000         1.000                 2.399999                  -134.767               -105.707076     -5.230147       88.602006          30000.000     13.8308       16.8411    4.165793e-23     61.058886
1 May 2024 18:00:16.000         1.000                 2.399999                  -134.781               -105.721181     -5.230148       88.587900          30000.000     13.8167       16.8270    4.880170e-23     61.158121
1 May 2024 18:00:17.000         1.000                 2.399999                  -134.798               -105.738561     -5.230149       88.570520          30000.000     13.7993       16.8096    5.926888e-23     61.280617
1 May 2024 18:00:18.000         1.000                 2.399999                  -134.819               -105.759095     -5.230149       88.549986          30000.000     13.7788       16.7891    7.449035e-23     61.425655
1 May 2024 18:00:19.000         1.000                 2.399999                  -134.843               -105.782656     -5.230150       88.526424          30000.000     13.7552       16.7655    9.670290e-23     61.592502
1 May 2024 18:00:20.000         1.000                 2.399998                  -134.869               -105.809115     -5.230151       88.499964          30000.000     13.7288       16.7391    1.294189e-22     61.780414
1 May 2024 18:00:21.000         1.000                 2.399998                  -134.898               -105.838341     -5.230151       88.470738          30000.000     13.6995       16.7098    1.781980e-22     61.988639
1 May 2024 18:00:22.000         1.000                 2.399998                  -134.930               -105.870199     -5.230152       88.438879          30000.000     13.6677       16.6780    2.519239e-22     62.216420
1 May 2024 18:00:23.000         1.000                 2.399998                  -134.964               -105.904555     -5.230152       88.404522          30000.000     13.6333       16.6436    3.649260e-22     62.462996
1 May 2024 18:00:24.000         1.000                 2.399998                  -135.001               -105.941273     -5.230153       88.367804          30000.000     13.5966       16.6069    5.405276e-22     62.727605
1 May 2024 18:00:25.000         1.000                 2.399998                  -135.040               -105.980218     -5.230153       88.328858          30000.000     13.5576       16.5679    8.170064e-22     63.009489
1 May 2024 18:00:26.000         1.000                 2.399998                  -135.081               -106.021256     -5.230154       88.287820          30000.000     13.5166       16.5269    1.257647e-21     63.307891
1 May 2024 18:00:27.000         1.000                 2.399997                  -135.124               -106.064253     -5.230154       88.244822          30000.000     13.4736       16.4839    1.967746e-21     63.622061
1 May 2024 18:00:28.000         1.000                 2.399997                  -135.169               -106.109080     -5.230155       88.199995          30000.000     13.4288       16.4391    3.123431e-21     63.951255
