                                      30 Sep 2025 09:31:06
Missile-TestMissile:  Altitude vs Ground Range


      Time (UTCG)          Ground Range (km)     Alt (km) 
-----------------------    -----------------    ----------
1 May 2024 18:00:00.000             0.000000      0.006096
1 May 2024 18:00:05.000             1.794127      6.819581
1 May 2024 18:00:10.000             3.584756     13.389295
1 May 2024 18:00:15.000             5.372041     19.715740
1 May 2024 18:00:20.000             7.156135     25.799395
1 May 2024 18:00:25.000             8.937188     31.640721
1 May 2024 18:00:30.000            10.715348     37.240159
1 May 2024 18:00:35.000            12.490761     42.598129
1 May 2024 18:00:40.000            14.263572     47.715035
1 May 2024 18:00:45.000            16.033925     52.591260
1 May 2024 18:00:50.000            17.801962     57.227168
1 May 2024 18:00:55.000            19.567821     61.623105
1 May 2024 18:01:00.000            21.331644     65.779397
1 May 2024 18:01:05.000            23.093566     69.696354
1 May 2024 18:01:10.000            24.853726     73.374266
1 May 2024 18:01:15.000            26.612258     76.813404
1 May 2024 18:01:20.000            28.369297     80.014024
1 May 2024 18:01:25.000            30.124976     82.976360
1 May 2024 18:01:30.000            31.879429     85.700631
1 May 2024 18:01:35.000            33.632787     88.187038
1 May 2024 18:01:40.000            35.385181     90.435763
1 May 2024 18:01:45.000            37.136742     92.446971
1 May 2024 18:01:50.000            38.887600     94.220809
1 May 2024 18:01:55.000            40.637885     95.757408
1 May 2024 18:02:00.000            42.387725     97.056880
1 May 2024 18:02:05.000            44.137251     98.119319
1 May 2024 18:02:10.000            45.886589     98.944804
1 May 2024 18:02:15.000            47.635869     99.533395
1 May 2024 18:02:20.000            49.385219     99.885135
1 May 2024 18:02:25.000            51.134767    100.000050
1 May 2024 18:02:30.000            52.884641     99.878147
1 May 2024 18:02:35.000            54.634970     99.519419
1 May 2024 18:02:40.000            56.385882     98.923838
1 May 2024 18:02:45.000            58.137506     98.091362
1 May 2024 18:02:50.000            59.889971     97.021929
1 May 2024 18:02:55.000            61.643406     95.715462
1 May 2024 18:03:00.000            63.397941     94.171864
1 May 2024 18:03:05.000            65.153707     92.391023
1 May 2024 18:03:10.000            66.910835     90.372809
1 May 2024 18:03:15.000            68.669455     88.117073
1 May 2024 18:03:20.000            70.429702     85.623650
1 May 2024 18:03:25.000            72.191707     82.892356
1 May 2024 18:03:30.000            73.955605     79.922992
1 May 2024 18:03:35.000            75.721532     76.715337
1 May 2024 18:03:40.000            77.489622     73.269157
1 May 2024 18:03:45.000            79.260015     69.584195
1 May 2024 18:03:50.000            81.032847     65.660180
1 May 2024 18:03:55.000            82.808260     61.496820
1 May 2024 18:04:00.000            84.586393     57.093807
1 May 2024 18:04:05.000            86.367391     52.450812
1 May 2024 18:04:10.000            88.151396     47.567490
1 May 2024 18:04:15.000            89.938555     42.443475
1 May 2024 18:04:20.000            91.729016     37.078385
1 May 2024 18:04:25.000            93.522928     31.471815
1 May 2024 18:04:30.000            95.320442     25.623344
1 May 2024 18:04:35.000            97.121711     19.532531
1 May 2024 18:04:40.000            98.926892     13.198914
1 May 2024 18:04:45.000           100.736141      6.622012
1 May 2024 18:04:49.852           102.496042      0.006096
